road_id,date,daily_volume,mean_speed,p95_speed,sensor_events,PhoneUse,RedLight,Seatbelt,Speeding,UnsafeLaneChange,total_violations,accidents,injuries,fatalities,severe,region,city,road_type,speed_limit,lanes,weather_mode,low_visibility_hours,rain_hours,fog_hours,max_precip_mm,avg_temp_c,has_fatality,severe_rate,violations_per_1000_volume
R0000,2026-02-03,93,84.89999999999999,94.25,6,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,Eastern,Dammam,Urban,80,2,Clear,3,3,1,3.99,30.94347826086957,0,1.0,21.50537634408602
R0000,2026-02-04,110,78.3,87.33999999999999,7,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,4,1,0,2.98,30.129166666666666,0,0.0,27.272727272727273
R0000,2026-02-05,98,91.95,100.1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,4,1,1,3.4,30.087500000000002,0,0.0,0.0
R0000,2026-02-06,111,95.64285714285714,106.64,7,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,1,1,0,0.48,31.28333333333333,0,0.0,18.01801801801802
R0000,2026-02-07,89,84.96666666666667,95.775,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,5,0,1,0.41,33.03333333333333,0,0.0,0.0
R0000,2026-02-08,95,97.86666666666667,103.225,6,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,Eastern,Dammam,Urban,80,2,Clear,3,0,3,0.58,32.104166666666664,0,1.0,21.05263157894737
R0000,2026-02-09,101,74.0,78.95,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,4,2,1,7.11,29.962500000000002,0,0.0,0.0
R0000,2026-02-10,78,89.28,98.84,5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,Eastern,Dammam,Urban,80,2,Clear,0,0,0,0.24,29.40833333333333,0,0.5,12.820512820512821
R0000,2026-02-11,85,84.44,93.91999999999999,5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eastern,Dammam,Urban,80,2,Clear,3,0,3,0.98,28.616666666666664,0,0.0,11.764705882352942
R0000,2026-02-12,86,88.2,94.67999999999999,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Eastern,Dammam,Urban,80,2,Clear,2,2,1,2.78,30.979166666666668,0,1.0,0.0
